"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"20"	50	0.67587701520348	0.219283459831853	4.55162101685828	0.0588525135159506	1.41678399710791	0.0242107935719037	0.618264416096512	0.000389377928056093	1.0233102409544	-0.004835286550124
"21"	5	0.807885917149217	0.262112803182951	1.27497550087852	0.0167657395428475	2.00077886367862	0.000820349364205999	0.998825231950795	2.80039020804951e-05	0.105490758408882	0.0521628386786391
"22"	10	1.00754904033786	0.326892074365088	1.63941365288542	0.0127927598255365	1.99914534184924	0.000900060625679691	0.997357195243214	5.34241519660554e-05	0.148689697997293	0.031629043975009
"23"	15	1.5131566670847	0.490932849855936	2.54583407389988	0.014771850034744	1.99871633587106	0.000953551436576335	0.995676163659419	6.70963963830315e-05	0.284197492112733	-0.00852527960784116
"24"	20	1.15395983994999	0.374394010329029	2.52755694137935	0.0205382706322837	1.99613155161818	0.00115789360505094	0.992735381141371	6.86471991064723e-05	0.402687409858553	0.00969321242653968
"25"	25	1.00925551433378	0.327445727638568	2.73772665381577	0.0133802229480164	1.99563788517912	0.00176847644734658	0.986574057982937	0.000192936578460957	0.566450078882278	0.00769809612313607
"26"	30	1.18502928742044	0.384474270173837	3.30073975015184	0.0189565864070824	1.97851834452732	0.00519559499714756	0.951706729736342	0.000318342765642585	0.56532774993861	0.00186503394780461
"27"	35	1.11294005557914	0.361085434898795	4.6879512524372	0.0314330311496515	1.89884074025762	0.00908563110084308	0.897230127611257	0.000496926261542356	0.705243409557875	-0.00907416956285591
"28"	40	0.784951294524862	0.25467182903251	4.56720642896913	0.027526419702253	1.81322843344484	0.0148217571320723	0.814919064277144	0.000530669292922959	0.83188446851565	-0.00517792778437918
"29"	45	0.610656740749863	0.198123208615045	4.53514815452077	0.033542811531285	1.596580753057	0.0224572675307827	0.689206682215596	0.000282350768219358	0.854634724358373	-0.0057906130503514
"30"	50	0.474724515271926	0.154020971026049	3.72258230991542	0.0173522002805526	1.7682512742534	0.0191318877527754	0.723426068347244	0.000158545956252581	1.02207966940321	0.00472577182020697
"31"	5	0.70665266374256	0.229268398716314	1.22525282437275	0.0146724467770121	1.999944380017	0.000991889309494183	0.998524438891377	2.58237697560577e-05	0.177450609801409	0.0921057468100369
"32"	10	1.06692928279442	0.346157569001872	1.69750287144753	0.0203043932681023	2.00117703368689	0.000817204274970852	0.99751788590895	3.74666784707829e-05	0.133172575626504	0.01628612268565
"33"	15	1.36449145071768	0.442699484512395	2.41609174855603	0.0188601506999185	2.00092655289722	0.00090474237700785	0.995808206442871	4.48829972924843e-05	0.299162122507316	-0.00280824151756088
"34"	20	1.44903547600015	0.47012918837127	2.64423094250639	0.0209903593022105	2.00008681014981	0.00118531148047135	0.992664315816564	6.90085690014181e-05	0.375833109514053	-0.000559193714744323
"35"	25	1.24955172015416	0.405408111639593	3.26372142825717	0.018252727352326	1.97201426818471	0.00432106897725182	0.965436505078382	0.000244710526120589	0.527391808313458	0.0117975802514251
"36"	30	1.11905937357971	0.363070803823602	3.42498343664433	0.0149807261552982	1.98470083930569	0.00266818013808894	0.974721197952054	0.000216081791799832	0.600354878233829	-0.00186060384290164
"37"	35	1.22994732649247	0.39904760643918	4.62157971836588	0.0337149576456106	1.83531117800085	0.0125345102543014	0.857046279476765	0.000529670424870176	0.745281940962402	-0.005750910819467
"38"	40	1.07899378828431	0.350071811453493	4.80803707531944	0.0380792539456912	1.59429688960452	0.0210325938799482	0.725009397422045	0.000460274270207659	0.885227394362841	-0.00658912372726396
"39"	45	0.929237163617424	0.301484346499075	4.31582423552159	0.0332155814805258	1.67752097568342	0.0206131390559455	0.718570973739797	0.000353674159978297	0.934570314231802	-0.00117448621865237
"40"	50	0.448459354215457	0.145499427520431	4.29874845914795	0.0139613554540231	1.79147027313714	0.0154521377737613	0.766873232567717	0.000242990441293738	1.00186466016693	0.0026341238990741
"41"	5	0.903656300357247	0.29318481851544	1.54195367738044	0.0245208349973373	2.00059132827352	0.000861994472019833	0.998703111600404	2.07113275973624e-05	0.217297572977882	-0.0468201280937829
"42"	10	1.00950652333929	0.32752716571375	1.95182423366013	0.0210950006547544	2.00025673605436	0.000864847345875861	0.997391589691688	4.03564653831294e-05	0.215055578545784	-0.0178774802835712
"43"	15	1.39792967047895	0.453548275571909	2.81797088342815	0.023245825024466	1.99788362734338	0.00110129327998071	0.994900309939603	6.01067940689284e-05	0.289359528034508	0.00303355367083976
"44"	20	1.10610298541161	0.3588671964209	2.43922626396256	0.0116537255755672	1.99769225831139	0.00106048939160664	0.99337893872449	5.73606126599907e-05	0.36964508488251	-0.00250113880172732
"45"	25	1.4173726377846	0.459856407146551	3.2578525425522	0.019225489480737	1.98190443509444	0.0041283761700625	0.967571014180876	0.000202640255870903	0.566654483267306	0.00755748664719731
"46"	30	1.11489656214814	0.361720209450945	3.48731524458666	0.0150378513096296	1.98555682529318	0.00344335954461604	0.967970786537919	0.000297369937112994	0.604176954110693	-0.00135185811132919
"47"	35	1.28387607391501	0.416544402532553	4.45444520687362	0.0354759117723174	1.82516068900867	0.0141059139140521	0.842181548159766	0.000547657128303817	0.691088581565384	0.00013517472202376
