"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"30"	50	0.731808161157022	0.237429919795965	3.72324998475968	0.0176523944519733	1.94237660530193	0.00848367410860898	0.87282339633082	0.000730429612941452	1.02207966940321	0.00472577182020697
"31"	5	0.74199066607913	0.240733560634235	1.24033033295114	0.017360010173015	2.00088019354108	0.000792989878194701	0.998814505526169	2.10273447268356e-05	0.177450609801409	0.0921057468100369
"32"	10	0.90180862330117	0.292585352919784	1.65655768988252	0.0174858597286027	1.99908107564706	0.000857442866760017	0.99736289507557	3.1697501540631e-05	0.133172575626504	0.01628612268565
"33"	15	1.31859527067077	0.42780879740903	2.36316107057309	0.0175112182788741	2.00003331344419	0.000785230284991158	0.99636391583854	3.81089547871061e-05	0.299162122507316	-0.00280824151756088
"34"	20	1.34036414716875	0.434871553572874	2.56808122260108	0.0171374880264797	1.99972768146516	0.000868247133260474	0.994691799073373	6.74935756391193e-05	0.375833109514053	-0.000559193714744323
"35"	25	1.32787043635021	0.430818058524515	2.93460841107216	0.0253012051314906	2.00018443178338	0.00110814756067323	0.991518371240791	0.000101857297868831	0.527391808313458	0.0117975802514251
"36"	30	0.981989198678325	0.318599366689313	3.19350533078905	0.0209592999925378	1.99897288585043	0.000903270679669386	0.991578221067424	7.05384036841694e-05	0.600354878233829	-0.00186060384290164
"37"	35	1.47324237740356	0.477982944264939	4.12625973598948	0.0245785403388681	1.98283143586067	0.00230461238599422	0.974848075566108	0.00035754854012356	0.745281940962402	-0.005750910819467
"38"	40	1.65050436270931	0.535494326602456	4.60740460938449	0.0309248978050734	1.92854604960242	0.00660238139108667	0.918017010362664	0.00116828022606624	0.885227394362841	-0.00658912372726396
"39"	45	1.28639588672023	0.417361937761047	4.20136866686438	0.029932618499842	1.92672387335674	0.00800678302998404	0.890889251343291	0.00124552471453346	0.934570314231802	-0.00117448621865237
"40"	50	0.636421849937303	0.206482513870996	4.0586608257745	0.0272484979304549	1.96561181734966	0.00516286761739051	0.921163262161394	0.000655026397085067	1.00186466016693	0.0026341238990741
"41"	5	0.959018271507306	0.311146613788565	1.5478915860894	0.0232548727327381	2.00007848467028	0.000739224315702402	0.998936489250977	2.4039334938726e-05	0.217297572977882	-0.0468201280937829
"42"	10	1.16205416011108	0.377020154568267	1.9792831855288	0.0225862591039021	1.99903140455859	0.000678245314250993	0.99791177795875	2.57820842483767e-05	0.215055578545784	-0.0178774802835712
"43"	15	1.51174206365787	0.490473891899463	2.70991035452396	0.0191744852148123	2.00038202174687	0.000863305640111315	0.996063701600642	5.51356231686026e-05	0.289359528034508	0.00303355367083976
"44"	20	1.09959486516111	0.35675568338905	2.42334523883141	0.0171308043022471	1.99954290731149	0.000793022755136519	0.995125867267434	5.66850016269668e-05	0.36964508488251	-0.00250113880172732
"45"	25	1.30621306275839	0.423791478680465	2.92666947361495	0.0117210881469648	1.99660052091136	0.00110259582726169	0.991368518867587	7.37887253198395e-05	0.566654483267306	0.00755748664719731
"46"	30	1.05454602295265	0.342139908982346	3.313811437738	0.0178660520517508	2.00006471431105	0.000966698448217081	0.991089034682438	9.91324172558994e-05	0.604176954110693	-0.00135185811132919
"47"	35	1.89949261718737	0.616276783575052	4.01516831252734	0.0303265872958638	1.97455226417521	0.00339965885437361	0.962565425209206	0.000408993054982255	0.691088581565384	0.00013517472202376
"48"	40	1.25452871964987	0.407022863501915	4.15431879376284	0.0185438954746618	1.9772697545263	0.00467075212002064	0.943694901914122	0.000716554882002235	0.78135085819624	-0.00668180991835527
"49"	45	0.940456988865294	0.305124538492172	3.76550143587378	0.0293553836181895	1.92009474597328	0.00878040627212996	0.878807075722577	0.000784181804213043	0.957124292418726	0.000967751672999659
"50"	50	0.560920131672552	0.181986521801552	3.94370879206431	0.0190496331961545	1.98700205347343	0.0027328420456637	0.958174905446037	0.000436338260269644	0.930806488143562	0.0024010229411905
"51"	5	0.911014205567191	0.295572038194845	1.39136342652733	0.0124765870549868	2.00045576252136	0.000955485436401102	0.998636778233048	3.25203488350139e-05	0.0848494734287734	-0.00904866058814656
"52"	10	1.13619876724948	0.368631557420461	1.90131953792646	0.0225069100306866	2.00064252301061	0.000931209756272093	0.997236941425154	5.08993604604153e-05	0.182235903374326	-0.00088669640066661
"53"	15	1.26467161227678	0.410313652414545	2.33578593878485	0.0192120257533268	1.99948458047864	0.000831075146511776	0.996175842698644	4.64215015503965e-05	0.2958715162422	-0.00158935865504973
"54"	20	1.06975085486834	0.34707300786518	2.43069197801179	0.0145344694197229	1.99881725881482	0.000786359824030406	0.995144711738244	5.39734380892489e-05	0.363693716241189	0.00657635010403633
