"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"dist_ls"	"dist_ls_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"77"	35	22.4029445769442	7.2684750135712	6.5576586378066	0.124189326930592	7.45637933850494	0.191583345586952	1.84296427012358	0.0130985772262204	0.975041482426705	0.000372736435833226	0.718568945305613	-0.00943948072588182
"78"	40	13.4629492565503	4.36795752201787	5.57533182833211	0.0929266945695731	7.62207985955979	0.20401476375969	1.69556610123036	0.0202483703601215	0.919505403597518	0.000775218626364152	0.794365697220792	-0.00494973164054683
"79"	45	11.0566966858689	3.58726609878687	5.52261741257878	0.132950950469048	7.65045804758244	0.150012907066283	1.59829135536843	0.0235621154620175	0.86212311835495	0.000986519814371352	0.90830376529849	-0.00659064149218385
"80"	50	6.75279844831857	2.19089712179169	4.70548341415497	0.0719665037213381	7.50648767836567	0.153676568506042	1.88943351543292	0.0142330603816072	0.94784740798764	0.000643046427062714	0.984603639737352	0.003895082616837
"81"	5	52.2208144174467	16.942669454808	7.2559658549048	0.156423120725227	3.12852316391471	0.114102665547136	2.00322659275218	0.0162114710539794	0.99934954360793	1.644050955637e-05	0.0609003611081767	0.0500741660887417
"82"	10	47.1866207815041	15.309361363068	6.98929439794533	0.161995811301648	3.999535891799	0.13074405286283	1.9933873246458	0.0110216142632188	0.998789989348851	2.60328073332862e-05	0.130503176642987	-0.0024599740421695
"83"	15	40.3506883077164	13.0914920017644	6.58272093610906	0.199939627457218	4.81650577558436	0.150386741927914	2.00302106653104	0.00951372204712585	0.997971849673857	3.08669742523986e-05	0.334058862916448	0.0044632946765393
"84"	20	35.9892278790734	11.6764473838843	6.504189417438	0.162177126673867	5.28982291618535	0.1891505639449	1.98593798538091	0.00785566931874673	0.99752154309431	5.27205856441431e-05	0.4071694366527	-0.00120976062219565
"85"	25	30.4246998475379	9.87107609348897	6.2527561501128	0.151100215729266	5.94365918666523	0.219115417558028	1.98878786705073	0.0078700453064172	0.996128975703027	5.29240077760112e-05	0.465556653142907	0.00963490250972017
"86"	30	26.9027210960193	8.72839529696159	6.21974672001141	0.148528162939455	6.36579222603809	0.183321336399382	1.96831171804216	0.00898615133927739	0.99262500056623	0.000139573016585296	0.64565411318413	-0.000748182321808847
"87"	35	19.4092956760456	6.29720705543057	5.88630697084221	0.124896411851478	6.78612359019474	0.240382921255786	1.94728518055372	0.0103159837726806	0.986596147433746	0.00022128591142341	0.661984018160493	0.00123023499208724
"88"	40	13.9742332037044	4.53383993903524	5.54644447708207	0.133463548864444	7.59894155515686	0.154191748942167	1.91501932999894	0.010418874527127	0.981392522024028	0.000205405868495287	0.744028685528475	-0.00529093838330373
"89"	45	9.34943121557754	3.0333560371106	5.22240740139272	0.103463418854704	7.80254382933995	0.196882849850888	1.94065022128106	0.010614154563784	0.976719047722061	0.000351091886120745	0.944084004411829	0.00285608068145511
"90"	50	6.88375152788217	2.23338391112821	4.78286591008422	0.104008029518693	7.45668907994447	0.231081384739087	1.71989395382589	0.0210346791639746	0.878108547482139	0.000734801326716139	1.00776796485299	-0.000122347505745836
"91"	5	52.1278880216504	16.9125201508347	7.24043462606607	0.164554428736087	2.89702436023955	0.11134377914287	1.97947485747364	0.0164769043416005	0.999317830606553	1.82798039154077e-05	0.0754749293270282	0.0342844939216854
"92"	10	47.9753699839899	15.5652653961539	7.04208166479655	0.166478097030123	3.98991553431674	0.174435819516863	2.00474881294884	0.0106316595251208	0.998874954326321	2.49749767335164e-05	0.249331989042363	-0.00496638771759551
"93"	15	40.5222100748017	13.1471410113873	6.5310084128407	0.180847284576723	4.39118171561534	0.157463775265471	2.01061392331663	0.00905837472716604	0.998153516724115	4.11719096877631e-05	0.329630352865088	0.0343689286873728
"94"	20	36.8937698814131	11.9699195620683	6.3826021112979	0.177258941002361	4.92902985779494	0.149716336218447	1.9772677023388	0.00806229768270721	0.997358673056297	4.45959973100206e-05	0.339544729667364	0.0171004882553152
"95"	25	29.7065354526141	9.63807279598887	6.27067165330563	0.161468855554717	6.0889198597818	0.151681183540215	1.97935987888421	0.00759130600521768	0.996359234825702	4.48291150437747e-05	0.512997374622742	-0.0121188267055302
"96"	30	22.1344536508939	7.181365054402	5.64039615061218	0.101039571004336	6.77222515953664	0.212947566734843	1.97691862134179	0.00763265452043004	0.994700790316029	7.3624101478989e-05	0.592750792927287	-0.00501341255091975
"97"	35	20.8687440652647	6.7707146389628	6.06547487065604	0.135306814272029	7.00773385320936	0.178308880938385	1.90125283942375	0.0117099530622304	0.981705969611466	0.000289583891019658	0.739771953176909	-0.00321935815075882
"98"	40	15.7021917059155	5.09446370680258	5.78452851900791	0.130229881071331	7.44602796407399	0.139581646569263	1.77043970788093	0.0180897873211125	0.939205153922036	0.000716346715900741	0.810363491212416	-0.0008371566372863
"99"	45	12.7105618653758	4.12385081834348	5.44214116628952	0.108045389376018	7.47887669198724	0.149831087394897	1.79202337915881	0.0180836733689875	0.927102638784892	0.000923841772924884	0.908221389340886	0.00204758128887796
"100"	50	6.88754682682251	2.23461526870364	4.97135488648313	0.111994858870839	7.85514717004333	0.174334237424529	1.70513589237223	0.0193029652163017	0.891825364101626	0.00113739662720605	0.968160622595722	-0.00189971574502774
